Ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
AVGO
GOOG
META
TSLA
BRKB
JPM
LLY
V
XOM
JNJ
WMT
MA
ABBV
NFLX
PLTR
COST
BAC
AMD
HD
PG
ORCL
GE
MU
CSCO
UNH
WFC
CVX
IBM
KO
CAT
MRK
GS
PM
CRM
RTX
TMO
MCD
ABT
LRCX
C
DIS
AMAT
MS
LIN
ISRG
AXP
PEP
QCOM
INTU
GEV
AMGN
BKNG
TJX
T
VZ
SCHW
ACN
NEE
APH
UBER
BLK
INTC
BA
APP
KLAC
SPGI
NOW
TXN
GILD
COF
ADBE
DHR
PFE
BSX
UNP
ANET
LOW
ADI
PGR
WELL
ETN
HON
PANW
MDT
SYK
PLD
COP
VRTX
CRWD
BX
CB
DE
PH
CEG
BMY
NEM
CMCSA
ADP
MCK
LMT
CVS
CME
TMUS
MO
SO
SBUX
ICE
MMC
DUK
SPOT
SNPS
TT
KKR
CDNS
MMM
GD
CRH
HOOD
USB
PNC
AMT
HWM
WM
BK
DASH
MCO
JCI
REGN
ELV
NOC
ORLY
GM
XTSLA
HCA
EMR
SHW
EQIX
AON
TDG
MRVL
NKE
UPS
WMB
FCX
CI
SNOW
ITW
CMI
RCL
MDLZ
MAR
GLW
CSX
WBD
HLT
ECL
AJG
NSC
CTAS
TRV
MSI
TFC
CL
ADSK
PWR
FDX
NET
COR
AEP
VRT
SPG
APO
WDC
ABNB
SLB
SRE
ROST
EOG
CVNA
NU
AZO
PCAR
ZTS
BDX
APD
ALL
VST
PYPL
LHX
IDXX
AFL
MNST
DLR
KMI
PSX
URI
O
F
EA
FTNT
ALNY
COIN
RBLX
MPC
D
VLO
CAH
EW
CMG
ROP
CBRE
AME
AIG
TTWO
FAST
OKE
WDAY
CTVA
AMP
BKR
DAL
GWW
TGT
MET
NDAQ
EXC
ROK
XEL
FERG
AU
RSG
AXON
YUM
CARR
DDOG
MPWR
MSCI
LNG
ETR
PSA
MSTR
CTSH
DELL
EBAY
PEG
PRU
TRGP
FICO
HIG
CCI
A
DHI
IQV
KR
VMC
NUE
GEHC
MLM
INSM
UAL
WAB
STT
FISV
VTR
KDP
PAYX
ED
SYY
FIS
XYZ
RMD
PCG
CPRT
KEYS
WEC
ACGL
OTIS
FLUT
KMB
MCHP
EQT
XYL
EXPE
VEEV
MDB
KVUE
GRMN
CCL
CIEN
FIX
HPE
SNDK
SOFI
IR
FITB
MTB
WTW
VRSK
CPNG
HUM
TER
NRG
ARES
SYF
NTRA
VICI
DG
RJF
ODFL
OXY
RKLB
MTD
RDDT
FANG
CSGP
LPLA
COHR
IBKR
ADM
EXR
HBAN
ULTA
EME
TEAM
DTE
AEE
MKL
EFX
CBOE
ATO
DOV
TSCO
FSLR
TPR
HSY
BR
PPL
NTRS
DXCM
OMC
BIIB
LITE
AVB
EL
CFG
AWK
CNP
EXE
ES
CINF
STE
GIS
FE
IRM
RF
JBL
HAL
USD
EQR
HUBB
VLTO
DLTR
TDY
STLD
PPG
PHM
BRO
DVN
EIX
LDOS
ZM
ON
WAT
TROW
FLEX
LYV
QSR
ZS
CRDO
LULU
NTAP
DRI
LH
LEN
WSM
ALAB
FWONK
HPQ
CMS
ILMN
CW
EXPD
UTHR
IP
KHC
CASY
PSTG
CHD
CPAY
PTC
SBAC
VRSN
HUBS
WRB
PODD
CNC
LVS
FTAI
TWLO
SW
BAM
AFRM
CTRA
WST
STZ
NVR
TYL
KEY
NI
PFG
LUV
FCNCA
RBA
CHRW
IT
DGX
AMCR
EXAS
TRMB
HEIA
GPN
SSNC
BE
PKG
FTI
RKT
BURL
RGLD
WWD
SGI
L
ZBH
SNA
CDW
FTV
CHTR
WY
THC
MKC
USFD
IFF
PNR
Q
GPC
GDDY
TTD
INVH
TLN
GWRE
ESS
NVT
HOLX
DD
EVRG
ROL
COO
TRU
APTV
DKNG
DOW
TSN
LNT
ALB
TOST
TPL
MAA
FN
ATI
JLL
ASTS
J
INCY
EWBC
TXT
BWXT
RS
CG
FOXA
XPO
NLY
CRS
LII
RIVN
SUI
PINS
JBHT
RPRX
DECK
IONQ
SMCI
BALL
VTRS
SATS
GEN
ITT
FFIV
U
TKO
ROKU
EG
FNF
RVMD
OKTA
APG
PFGC
WPC
AVY
NBIX
RBC
RL
HII
DOCU
ALLE
CSL
HEI
KIM
MTZ
JKHY
GGG
RPM
MAS
EQH
RNR
UNM
IEX
RGA
LECO
AA
DPZ
NTNX
DKS
TOL
NDSN
BBY
SF
DT
MEDP
CF
EVR
ACM
OHI
TW
SCCO
ENTG
NXT
MLI
GH
CLX
REG
VIK
AIZ
HST
IONS
KTOS
AKAM
ZBRA
ALLY
CACI
UDR
CCK
HL
GLPI
CPT
PEN
FHN
BBIO
SNX
DTM
BLD
CLH
BG
EXEL
BJ
UHS
WCC
SOLV
CMA
ELS
WSO
GL
RVTY
AYI
QXO
EPAM
HAS
Z
BLDR
NYT
DOC
SWK
TXRH
LYB
FDS
SCI
AGNC
CDE
IOT
BMRN
MDGL
LAMR
ELAN
DCI
EHC
PNW
DAY
ORI
MANH
ALGN
MTSI
AMH
WTRG
BXP
MKSI
OVV
JAZZ
MRNA
WMS
WBS
FIVE
CRL
BAH
RBRK
ONON
AIT
AES
NWSA
LSCC
RMBS
CNM
SJM
AAL
PR
AR
DY
IVZ
GMED
BAX
ENSG
